B,G,R,Color
175,178,178,White
179,176,172,White
180,175,170,White
176,176,168,White
180,176,173,White
179,176,170,White
179,179,179,White
180,179,179,White
179,179,179,White
179,179,179,White
183,179,179,White
177,179,179,White
176,177,177,White
178,178,181,White
157,167,166,White
79,184,163,Yellow
78,182,165,Yellow
84,139,159,Yellow
55,165,165,Yellow
4,64,56,Yellow
33,89,76,Yellow
80,194,179,Yellow
57,166,159,Yellow
96,169,195,Yellow
60,173,169,Yellow
12,74,78,Yellow
10,71,53,Yellow
63,181,165,Yellow
34,97,109,Yellow
13,76,81,Yellow
65,194,181,Yellow
10,76,65,Yellow
34,88,83,Yellow
78,198,190,Yellow
111,180,214,Yellow
58,179,179,Yellow
18,61,80,Yellow
3,55,53,Yellow
10,51,57,Yellow
72,191,171,Yellow
57,100,101,Yellow
68,196,183,Yellow
74,197,189,Yellow
101,172,202,Yellow
65,181,177,Yellow
49,163,159,Yellow
52,182,165,Yellow
94,98,85,Yellow
71,194,173,Yellow
55,196,187,Yellow
1,29,142,Red
0,23,136,Red
0,24,143,Red
18,39,40,Red
6,20,33,Red
4,32,42,Red
46,129,150,Red
56,145,167,Red
50,131,147,Red
2,19,59,Red
7,21,54,Red
0,35,150,Red
4,16,49,Red
2,31,69,Red
3,45,159,Red
1,65,160,Red
2,54,159,Red
10,53,153,Red
91,169,193,Red
98,185,202,Red
11,64,84,Red
3,40,69,Red
9,56,149,Red
8,40,64,Red
13,42,138,Red
20,45,143,Red
10,37,148,Red
17,47,146,Red
3,30,141,Red
6,48,148,Red
20,31,37,Red
13,26,29,Red
1,30,144,Red
12,55,68,Red
20,52,158,Red
50,100,237,Orange
11,25,65,Orange
30,32,78,Orange
48,103,255,Orange
46,77,178,Orange
53,107,255,Orange
64,127,163,Orange
51,99,232,Orange
60,105,229,Orange
42,80,113,Orange
74,106,231,Orange
49,55,97,Orange
76,97,232,Orange
80,105,230,Orange
85,99,232,Orange
47,45,106,Orange
106,115,236,Orange
54,42,95,Orange
107,116,247,Orange
88,60,109,Orange
111,115,252,Orange
80,106,235,Orange
93,107,232,Orange
86,110,231,Orange
94,113,233,Orange
80,88,118,Orange
59,74,103,Orange
28,51,115,Orange
82,117,255,Orange
35,70,72,Orange
110,85,87,Orange
176,157,141,Orange
51,65,92,Orange
85,154,184,Orange
58,116,251,Orange
21,144,62,Green
0,48,43,Green
61,148,192,Green
3,77,104,Green
0,46,28,Green
7,99,44,Green
0,53,32,Green
17,155,81,Green
80,175,216,Green
23,143,55,Green
1,54,38,Green
61,148,192,Green
70,167,208,Green
4,126,61,Green
5,134,61,Green
0,64,58,Green
78,175,210,Green
81,173,206,Green
